grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,t1_flag,t2_flag,t1_ms,t2_ms,load_t1,load_t2,current_t1,current_t2,enc_t1,time_to_stall_ms,t1_source
1,no_object,6,60.896,-0.300,-1.200,4.355,-1.050,-0.600,2.422,8.551,8.100,10.406,-0.749,-4.500,-0.242,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,56,61.424,-3.375,-7.650,-13.430,4.050,-0.676,-0.002,-12.375,-8.324,-11.254,-5.400,-9.450,-10.891,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,107,63.360,-12.149,-12.375,-15.973,9.900,10.575,20.691,-8.775,-5.851,-12.705,4.726,-1.800,4.355,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,157,65.648,12.375,8.550,13.432,-7.875,-11.475,-14.518,13.500,6.975,9.438,11.699,12.601,17.424,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,208,68.640,-10.576,-7.875,-3.268,-0.225,0.226,3.633,19.574,17.550,23.957,-4.275,3.826,2.180,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,259,71.544,-16.201,-21.150,-29.768,8.551,9.900,15.246,0.450,-0.900,5.807,1.351,-0.450,-1.453,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,310,74.448,-5.850,-2.925,-4.717,9.001,12.600,11.252,-22.274,-22.275,-33.035,-6.075,-5.175,-6.898,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,361,77.440,13.949,13.950,25.410,-21.600,-22.949,-42.107,29.250,30.601,47.918,-12.600,-14.399,-18.877,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,413,80.432,-1.575,-4.274,-3.994,17.774,11.700,26.500,-16.426,-12.375,-15.971,11.925,9.449,11.617,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,464,83.512,5.850,7.649,13.795,-13.500,-16.200,-18.875,12.150,6.750,13.793,-11.250,-6.299,-17.424,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
1,no_object,521,86.856,4.499,-0.450,0.002,-2.699,0.675,-10.166,12.601,11.475,20.691,4.725,10.574,10.164,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
